Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Agwison,Runding mellem tommel- og pegefinger,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Agwison,Runding mellem tommel- og pegefinger,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ahope,Ni ( 9 ),Tal,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
An,Inderside/indadgående,Bevægelse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
An,Indadgående,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
An palmok,Indersiden af underarmen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
An-chagi,Indadgående spark,Benteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
An-chung-joochoom-seogi,Indaddrejet hestestand,Stande,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
An-palmok,Inderside af underarm,Anatomi,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,TRUE,TRUE
Anchong-seogi,Hvilestand (fødder indad),Stande,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Anpalmok hechyomakki,Adskille blokering m. indersiden af underarm,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Anpalmok momtong bakatmakki,Udadgående blokering m. inderside af underarm,Håndteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Anpalmok-hechyomakki,Midter sektion adskille blokering,Håndteknikker,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Ap,Front,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Ap,Front,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ap joochoom seogi,Kort hestestand,Stande,3. kup,null,FALSE,TRUE
Ap koa seogi,Forlæns krydsstand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ap seogi ,Kort stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ap-chagi,Front spark,Benteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Ap-koa-seogi,Forlæns krydsstand,Stande,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Ap-seogi,Kort stand,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Apchook,Fodballe,Anatomi,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Apchook,Fodballe,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Apchook dollyo-chagi,"Cirkelspark, hvor der rammes m. fodballe",Benteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Apchook-moa-seogi,Stand med samlet fødder(fødderne samles ved tæerne),Stande,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Ape,Frem,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Apkoobi,Lang stand,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Apooro ka,Gå frem,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Arae,Lav sektion,Anatomi,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Arae,Lav sektion,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Arae hechyomakki,Lav sektion “adskille” blokering,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Arae jireugi,Slag lav sektion,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Arae-makki,Lav sektion blokering,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Baesim,Overdommer,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Bakat,Yderside/udadgående,Bevægelse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Bakat palmok,Ydersiden af underarmen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Bakat-chagi,Udadgående spark,Benteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Bakat-palmok,Yderside af underarm,Anatomi,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,TRUE,TRUE
Bakkat,Udadgående,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Bal,Fod,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Balbadak,Fodsål,Anatomi,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Balbadak,Fodsål,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Baldeung,Vrist,Anatomi,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Baldeung,Vrist,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Baldeung dollyo-chagi,"Cirkelspark, hvor der rammes m. vrist",Benteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Balkeut,Tåspidser,Anatomi,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Balkeut,Tåspidser,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Balmok,Fodled,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Balnal,Knivfod,Benteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Balnal,Knivfod,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Balnal deung,Inderside af fod,Anatomi,3. kup,null,FALSE,TRUE
Balnaldeung,Modsat knivfod,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Bam Jomeok,Kastanjenæve,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Bandae,Samme,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Bandae jireugi,Slag samme hånd/ben,Håndteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Bandal-chagi,Halvmånespark,Benteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Bang-oh,Forsvar,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Baro,Modsat,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Baro jireugi,Slag modsat hånd/ben,Håndteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Batangson,Håndrod,Anatomi,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Batangson,Håndrod,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Batangson geodureo momtong anmakki,Håndrods blokering m. støtte (som i T7),Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Batangson momtong anmakki,"Håndrodsblokering, modsat forreste ben",Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Batangson momtong nulleomakki,Nedadgående blokering m. håndrod,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Batangson momtongmakki,Håndrods blokering i midter sektion,Håndteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Batangson teok chigi,Slag mod hage m. håndrod,Håndteknikker,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Bawi milgi,Skubber en stor sten,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Beodeo,Bøje stræk,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Beodeo-chagi,Bøje-stræk spark,Benteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Beom Sa Nim,8. Dan og opefter,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Beom seogi,Tigerstand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Beom-seogi,Tigerstand,Stande,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Bigim,Uafgjort,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Biteureo,Vride,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Biteureo-chagi,Vridespark,Benteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Bo jomeok joonbi seogi,Dækket næve stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Bo jumeok,Dækketnæve,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Boosim,Hjørnedommer,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Budoka,Kampsportsudøver,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ch´ot madi,Yderste fingerled,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Cha Yang Cha,Venstre om,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Cha yang wu,Vend mod træner/makker,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Cha Yang Wu,Front mod hinanden,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Chagi,Spark,Benteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Chagi,Spark,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Charoka,Gå til siden,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Charyeo,Indtag hilsestand,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Charyot,Indtag retstand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Chigi,Slag fra skulderen,Håndteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Chigi,Stange/slag i cirkelbevægelse,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Chill,Syvende ( 7. ),Tal,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Chireugi,Stikslag,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Chireugi,Stikke,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Cho Kyo Nim,Træner under 1. Dan,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Choombi,Indtag klarstand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Da bang hyang chagi,Tre eller flere flyvende spark mod forskellige mål,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dan,Mestergrad,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Dan gyo teok-chigi,En hånd trækker og den anden udfører ap-chigi (deung-jumeok),Håndteknikker,3. dan,http://www.tangun.dk/images/stories/docs/3dan.pdf,FALSE,TRUE
Danggyeo,Trække,Håndteknikker,3. kup,null,FALSE,TRUE
Danggyeo teok jireugi,Træk med en hånd og opadgående slag med den anden hånd mod hage,Håndteknikker,3. kup,null,FALSE,TRUE
Dangyo,Træk,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Danjeun,Mellemgulv,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Dari,Ben,Anatomi,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Dari,Ben,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Deung,Omvendt,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Deung joomeok,Håndryggen/overside af knyttet næve,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Deung palmok,Forsiden af underarmen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Deung-jumeok,Oversiden af knyttet hånd,Anatomi,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Deung-jumeok ap-chigi,Front slag (omvendt knoslag),Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Dirro,Bevæge bagud,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Dirro dorra,180 graders vending,Bevægelse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Dirro Dorra,180 graders vending,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dirro Dorra ka,Vend om og gå,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Dirro ka,Gå baglæns,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Do,Vej/Kunst,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Do jang,Taekwondo træningssal,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Dobog,Taekwondo dragt,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Dobog,Dragt,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dobog gaeneun beob,Måden man lægger sin dobog sammen på,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dojang,Træningssal,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Dolgi,Dreje,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Dollyo,Cirkel,Diverse,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
